,Country,Total.Library.Size,No.TV.Show,No.Movies,Cost.per.Title...Basic....,Cost.per.Title...Standard....,Cost.per.Title...Premium....,Library.Size...Color,Cost.per.Title...Basic...Color,Cost.per.Title...Standard...Color,Cost.per.Title...Premium...Color,x1960,x1961,x1962,x1963,x1964,x1965,x1966,x1967,x1968,x1969,x1970,x1971,x1972,x1973,x1974,x1975,x1976,x1977,x1978,x1979,x1980,x1981,x1982,x1983,x1984,x1985,x1986,x1987,x1988,x1989,x1990,x1991,x1992,x1993,x1994,x1995,x1996,x1997,x1998,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,g2020,g2021,g2022,g2023,Cost
62,Nigeria,2378,1525,853,0.00077,0.00053,0.00033,0,0,0,0,4196174502,4467287893,4909399176,5165590254,5552931319,5874537650,6366917453,5203237919,5200997920,6634317346,12546094982,9181769912,12274416018,15162871287,24846641318,27778934625,36308883249,36035407725,36527862209,47259911894,64201788123,1.64E+11,1.43E+11,97094911792,73484359521,73745821158,54805852581,52676041931,49648470440,44003061108,54035795388,59526833412,52058181854,56721051402,80399613064,1.41E+11,1.86E+11,2.01E+11,2.18E+11,59145077039,69171451627,73557840064,95054059303,1.05E+11,1.36E+11,1.76E+11,2.38E+11,2.78E+11,3.39E+11,2.95E+11,3.67E+11,4.14E+11,4.64E+11,5.20E+11,5.74E+11,4.93E+11,4.05E+11,3.76E+11,4.22E+11,4.75E+11,4.32E+11,4.41E+11,4.73E+11,3.63E+11,4.48
63,Norway,7359,2209,5150,0.00113,0.00069,5.00E-04,1,0,0,0,5197398721,5669689210,6107076929,6553269536,7206522122,8111945661,8753940267,9577383653,10227087165,11136187440,12814123115,14583114840,17358610850,22534253703,27145693810,32877805200,35942270686,41508030431,46522900254,53132244624,64439382896,63596654761,62647195538,61627240831,62057955033,65416879914,78693118044,94229907236,1.02E+11,1.03E+11,1.20E+11,1.22E+11,1.31E+11,1.21E+11,1.27E+11,1.52E+11,1.64E+11,1.61E+11,1.54E+11,1.62E+11,1.71E+11,1.74E+11,1.96E+11,2.29E+11,2.65E+11,3.10E+11,3.47E+11,4.03E+11,4.65E+11,3.88E+11,4.31E+11,5.01E+11,5.13E+11,5.26E+11,5.02E+11,3.88E+11,3.71E+11,4.02E+11,4.40E+11,4.09E+11,3.68E+11,5.03E+11,5.94E+11,4.86E+11,9.99
64,Oman,6525,2481,4044,0.00129,8.00E-04,6.00E-04,1,1,0,0,NA,NA,NA,NA,NA,63279974.69,67759972.9,107151832.5,188879848.9,239999808,256319794.9,301010587.1,366883548.3,483066990.6,1645917776,2096699189,2560220035,2741169948,2740301390,3733352635,5981760278,7259120151,7554719456,7932541691,8821443151,10005645420,7324167369,7811183095,8386215865,9372171651,11685045514,11341482445,12452275683,12493107932,12918855657,13802600780,15277763329,15837451235,13996914694,15593456177,19507452536,19452000520,20142756047,21633708192,24763712874,31081991678,37215779714,42085379454,60905452536,48388363589,64993498049,77497529259,87408842653,89936020806,92699089727,78710793238,75128738622,80856697009,91505851756,88060858257,75909397659,88191977373,1.15E+11,1.08E+11,10.49
65,Pakistan,6863,2675,4188,0.00024,0.00021,0.00014,1,0,0,0,3749265015,4118647627,4310163797,4630827383,5204955901,5929231415,6561108778,7464510710,8041999160,8683116338,10027509450,10665896682,9415016360,6383429490,8899191919,11230606061,13168080808,15126060606,17811515152,19688383838,23654444444,28100606061,30725971564,28691889764,31151825467,31144920844,31899070056,33351529275,38472742808,40171106279,40010423970,45625336680,48884671947,51809999353,52293470813,60636071684,63320170084,62433340468,62191955814,62973857069,99484802345,97145618480,97923302809,1.12E+11,1.32E+11,1.45E+11,1.62E+11,1.84E+11,2.02E+11,1.87E+11,1.97E+11,2.31E+11,2.50E+11,2.59E+11,2.71E+11,3.00E+11,3.14E+11,3.39E+11,3.56E+11,3.21E+11,3.00E+11,3.49E+11,3.75E+11,3.38E+11,2.82
66,Panama,6376,2609,3767,0.00078,7.00E-04,0.00051,1,0,0,0,537147100,599026300,652120900,722784500,776137500,852485300,928833000,1034376400,1112791100,1221305700,1351006400,1523917200,1673411700,1913793400,2188307600,2435304100,2588106000,2738261900,3244558600,3704551600,4614086400,5222421500,5769767900,5923755900,6183387100,6541517100,6797834200,6827665300,5902783400,5918469800,6433967000,7074675500,8042337700,8782585400,9365289800,9573813700,9870494000,10677286100,11575486400,12130252200,12304115000,12502013400,12994310400,13693981200,15013381700,16374393900,18141666300,21295984200,25155888600,27116635600,29440287600,34686224300,40429700000,45599900000,49921400000,54091800000,57907700000,62202700000,67294169200,69721787500,57086836900,67406738100,76522511781,83382400000,8.99
67,Paraguay,6502,2599,3903,0.00061,0.00046,0.00031,1,0,0,0,288884368,322053713.2,360698412.7,383904761.9,408349206.3,443587301.6,465888888.9,492674603.2,517650793.7,556293650.8,594611111.1,664571428.6,769039682.5,995531746,1333475397,1511420635,1698960317,2092158730,2559857143,3416777778,4448087302,5624515873,5419411765,5673248726,4502462807,3282449236,3723993943,3971044724,4255683528,4757732200,5812114523,6984367763,7157424031,7249533620,7870982005,9062131475,9788391781,9965225678,9260481572,8837070236,8855705140,8495806432,7196260657,7691367471,9624440836,10737500188,13429430050,17856393235,24615267664,22355151162,27260886405,33756238767,33271921136,38501122141,40377929296,36211447840,36089700223,38997129474,40225448341,37925338329,35432178068,39950899939,41952910858,42956263544,5.99
68,Peru,6537,2631,3906,0.00101,0.00071,0.00045,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15203143381,14124541993,20339340469,15044388198,21777475654,36533467759,15439408447,22499558526,26410386963,34341465998,35966302303,34832077221,44882079767,53312793687,55252414130,58147522523,55501467877,50187324568,51744749133,52030158775,54777553515,58731030122,66768703498,76060606061,88643193062,1.02E+11,1.21E+11,1.21E+11,1.48E+11,1.72E+11,1.93E+11,2.01E+11,2.01E+11,1.90E+11,1.92E+11,2.11E+11,2.23E+11,2.28E+11,2.01E+11,2.26E+11,2.46E+11,2.68E+11,9.28
69,Philippines,7703,2946,4757,0.00055,0.00044,0.00031,1,0,0,0,7515894111,8171194425,4954593072,5505023238,5953756195,6517349772,7189017888,7724873935,8632749269,9571800653,7559115517,8375075630,9067815521,11412449735,15607882555,16875240684,19381055197,22283109803,25762224563,31218296292,36848080899,40499388869,42206011275,37759179895,35730185634,34961486348,33987207295,37791488666,43152128959,48513773721,50508286642,51784144943,60422328242,62036529147,73159336915,84644328727,94648084429,94106317565,74492416330,85640171045,83669788255,78921234458,84307345888,87039092974,95001999685,1.07E+11,1.28E+11,1.56E+11,1.82E+11,1.76E+11,2.08E+11,2.34E+11,2.62E+11,2.84E+11,2.97E+11,3.06E+11,3.19E+11,3.28E+11,3.47E+11,3.77E+11,3.62E+11,3.94E+11,4.04E+11,4.37E+11,7.19
70,Poland,7408,2333,5075,0.001,0.00074,0.00051,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65977748211,85500935935,94337050693,96043157273,1.11E+11,1.42E+11,1.60E+11,1.59E+11,1.75E+11,1.70E+11,1.72E+11,1.91E+11,1.99E+11,2.18E+11,2.55E+11,3.06E+11,3.45E+11,4.29E+11,5.34E+11,4.40E+11,4.76E+11,5.24E+11,4.95E+11,5.16E+11,5.39E+11,4.77E+11,4.70E+11,5.25E+11,5.89E+11,5.96E+11,5.99E+11,6.81E+11,6.90E+11,8.11E+11,10.68
71,Portugal,7789,2289,5500,0.00111,0.00083,0.00056,1,0,0,0,3339150158,3573719085,3835883663,4084251593,4429202657,4901711248,5370108031,6002607030,6644693214,7287555035,8108235704,9201604240,11239117865,15090564186,17512391476,19347607843,20332831565,21439523311,23487614051,26622819672,32896519824,31977276873,30527754793,27239650742,25217969050,27115807742,38745901354,48182925857,56347250696,60594092182,78713860217,89233599278,1.08E+11,95009751901,99688641304,1.18E+11,1.23E+11,1.17E+11,1.24E+11,1.27E+11,1.19E+11,1.22E+11,1.35E+11,1.65E+11,1.89E+11,1.97E+11,2.09E+11,2.40E+11,2.63E+11,2.45E+11,2.38E+11,2.45E+11,2.16E+11,2.26E+11,2.30E+11,1.99E+11,2.06E+11,2.21E+11,2.42E+11,2.40E+11,2.29E+11,2.56E+11,2.55E+11,2.87E+11,12.92
