,Country,Total.Library.Size,No.TV.Show,No.Movies,Cost.per.Title...Basic....,Cost.per.Title...Standard....,Cost.per.Title...Premium....,Library.Size...Color,Cost.per.Title...Basic...Color,Cost.per.Title...Standard...Color,Cost.per.Title...Premium...Color,x1960,x1961,x1962,x1963,x1964,x1965,x1966,x1967,x1968,x1969,x1970,x1971,x1972,x1973,x1974,x1975,x1976,x1977,x1978,x1979,x1980,x1981,x1982,x1983,x1984,x1985,x1986,x1987,x1988,x1989,x1990,x1991,x1992,x1993,x1994,x1995,x1996,x1997,x1998,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,g2020,g2021,g2022,g2023,Cost
82,Spain,7831,2407,5424,0.00111,9.00E-04,0.00062,1,0,0,1,12433394725,14248303793,16621504913,19645746986,21982577365,25497831759,29580564480,32594186212,32417481065,37117200724,40992995008,46619420359,59132415221,78639525985,97274006346,1.15E+11,1.19E+11,1.32E+11,1.61E+11,2.15E+11,2.33E+11,2.03E+11,1.96E+11,1.71E+11,1.72E+11,1.81E+11,2.51E+11,3.19E+11,3.76E+11,4.15E+11,5.37E+11,5.77E+11,6.31E+11,5.25E+11,5.31E+11,6.15E+11,6.43E+11,5.90E+11,6.19E+11,6.35E+11,5.98E+11,6.28E+11,7.09E+11,9.07E+11,1.07E+12,1.15E+12,1.26E+12,1.47E+12,1.63E+12,1.49E+12,1.42E+12,1.48E+12,1.32E+12,1.36E+12,1.37E+12,1.20E+12,1.23E+12,1.31E+12,1.42E+12,1.39E+12,1.28E+12,1.45E+12,1.42E+12,1.58E+12,14
83,Sweden,7559,2221,5338,0.00124,0.00081,0.00056,1,1,0,0,15953203853,17354781171,18821353529,20371666154,22718426804,25000191834,27194141951,29517675437,31323283317,34016617942,38092452061,41566412923,48954145809,59404966684,66013338965,82885397621,89362071673,94468740851,1.04E+11,1.23E+11,1.42E+11,1.30E+11,1.14E+11,1.05E+11,1.09E+11,1.14E+11,1.50E+11,1.83E+11,2.07E+11,2.18E+11,2.62E+11,2.74E+11,2.84E+11,2.13E+11,2.29E+11,2.67E+11,2.92E+11,2.68E+11,2.71E+11,2.74E+11,2.63E+11,2.42E+11,2.67E+11,3.34E+11,3.85E+11,3.92E+11,4.23E+11,4.91E+11,5.18E+11,4.37E+11,4.96E+11,5.74E+11,5.52E+11,5.87E+11,5.82E+11,5.05E+11,5.16E+11,5.41E+11,5.55E+11,5.34E+11,5.47E+11,6.40E+11,5.90E+11,5.93E+11,12.32
84,Switzerland,7541,2547,4994,0.0019,0.00154,0.00103,1,1,1,1,10412232621,11713348834,12989649694,14283872299,15833133858,16780226225,18019402374,19397044714,20712102794,22442043274,24998066773,30040171751,36844318854,49550006320,57103011446,65466081819,68476524644,73135771167,1.02E+11,1.15E+11,1.23E+11,1.12E+11,1.15E+11,1.15E+11,1.09E+11,1.11E+11,1.59E+11,1.99E+11,2.16E+11,2.08E+11,2.66E+11,2.69E+11,2.80E+11,2.72E+11,3.01E+11,3.53E+11,3.40E+11,2.95E+11,3.03E+11,2.98E+11,2.79E+11,2.87E+11,3.09E+11,3.62E+11,4.04E+11,4.18E+11,4.42E+11,4.91E+11,5.67E+11,5.54E+11,5.99E+11,7.16E+11,6.86E+11,7.06E+11,7.27E+11,6.94E+11,6.88E+11,6.95E+11,7.26E+11,7.21E+11,7.42E+11,8.13E+11,8.18E+11,8.85E+11,21.48
85,Tanzania,4653,2268,2385,0.00086,0.00086,0.00054,0,0,0,0,2651729807,2826179031,3101589993,3456579293,3748840925,3817226546,4377998825,4565132047,4895251824,5142066811,2851419386,3050673517,3472787266,4144104535,4977337978,5729917840,6472511988,7732598995,9261675710,9804637491,11409228087,13161540378,13927383240,14049883809,12906635133,15328295175,10840864521,7824193222,7406614407,6418799007,6184384225,7197768159,6681997469,6182872708,6550480484,7631431840,9433528150,11158197942,12172790056,12704334196,13371767082,13563990022,14129651896,15211487709,16673062473,18395383647,18619859795,21860434823,27947821398,29400573554,32012892919,34657140096,39650394363,45648857242,49986726461,47413919817,49774409374,53274884533,57003712892,61026731926,66068737786,70655628148,75769974505,79158286334,7.99
86,Thailand,7537,2704,4833,0.00062,0.00064,0.00038,1,0,0,0,2760750861,3034037811,3308912797,3540403457,3889129942,4388937649,5279230817,5638461442,6081009428,6695336567,7086538438,7375000024,8177873151,10838587358,13702998512,14882770594,16985208648,19779312261,24006566637,27371650825,32353514989,34846039194,36589772404,40042798388,41797647776,38900711333,43096773981,50535446555,61667253471,72250748100,85343190719,98234714971,1.11E+11,1.29E+11,1.47E+11,1.69E+11,1.83E+11,1.50E+11,1.14E+11,1.27E+11,1.26E+11,1.20E+11,1.34E+11,1.52E+11,1.73E+11,1.89E+11,2.22E+11,2.63E+11,2.91E+11,2.82E+11,3.41E+11,3.71E+11,3.98E+11,4.20E+11,4.07E+11,4.01E+11,4.13E+11,4.56E+11,5.07E+11,5.44E+11,5.00E+11,5.06E+11,4.96E+11,5.15E+11,9.9
87,Tunisia,6696,2473,4223,6.00E-04,6.00E-04,0.00037,1,0,0,0,NA,866155428.6,880027733.3,1026737600,1025866792,991047619,1040952381,1085714286,1214666667,1289904762,1439238095,1685162272,2237556149,2730813385,3545868575,4328965588,4508191942,5109324009,5968460080,7188863904,8744134354,8428445294,8133580052,8350582748,8254541195,8410226053,9017806654,9696715911,10096245762,10101851745,12290568182,13074782609,15496708060,14608335608,15633174304,18030876599,19587161807,20746210354,21802893587,22943202175,21473528161,22065832449,23141616605,27453902261,31183885241,32272186695,34376664601,38915353867,44859439902,43455740497,46206091938,48123325825,47311401813,48685446414,50271812921,45779494042,44360072680,42163530591,42686580021,41905540184,42491816476,46812290143,44579761023,48529595417,7.99
88,Uganda,1495,929,566,0.00267,0.00267,0.00167,0,1,1,1,423008385.7,441524109,449012578.6,516147798.7,589056603.8,884502310,925381492.4,967240655.2,1037379252,1168556629,1259554809,1417191656,1490970181,1701829789,2098944967,2359555556,2447300000,2936470588,2420260870,2139025000,1244610000,1337300000,2177500000,2240333333,3615647477,3519695444,3923244050,6269522042,6508931652,5276480799,4304399310,3321729160,2857457762,3220439044,3990430447,5755818842,6044585327,6269333313,6584815847,5998563258,6193246837,5840503869,6178563591,6606884275,7939487548,9239221763,9977647683,11902564495,14440404132,25127805567,26673441431,27871725241,27305915911,28915786517,32612397257,32387183730,29203988696,30744473841,32927025620,35348155095,37600368240,40529788744,45565333216,49272882214,7.99
89,Ukraine,6040,2499,3541,0.00089,0.00067,0.00045,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64904761905,74842105263,80731578947,79523809524,76666666667,73906020558,65648189144,52549580265,48213856469,44558831005,50151531592,41882523345,31580639554,32375083935,39309580983,43956163612,52010355753,67220154164,89238865119,1.12E+11,1.49E+11,1.88E+11,1.22E+11,1.41E+11,1.69E+11,1.83E+11,1.90E+11,1.34E+11,91030967789,93355869404,1.12E+11,1.31E+11,1.54E+11,1.57E+11,2.00E+11,1.62E+11,1.79E+11,8.07
90,United Arab Emirates,6557,2455,4102,0.0012,0.00081,0.00058,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,685986701.3,939893599.6,1415086929,4231243616,11651505690,14720728249,19213158779,24871775165,23775764225,31225659621,43599160050,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,1.04E+11,1.03E+11,1.10E+11,1.24E+11,1.48E+11,1.81E+11,2.22E+11,2.58E+11,3.15E+11,2.54E+11,3.00E+11,3.61E+11,3.85E+11,4.00E+11,4.14E+11,3.70E+11,3.69E+11,3.91E+11,4.27E+11,4.18E+11,3.49E+11,4.15E+11,5.07E+11,5.04E+11,10.62
91,United Kingdom,8038,2756,5282,0.00128,0.00088,0.00072,1,1,0,1,73233967692,77741965703,81247564157,86561961812,94407558351,1.02E+11,1.09E+11,1.13E+11,1.08E+11,1.16E+11,1.31E+11,1.48E+11,1.70E+11,1.93E+11,2.06E+11,2.42E+11,2.33E+11,2.63E+11,3.36E+11,4.39E+11,5.65E+11,5.41E+11,5.15E+11,4.90E+11,4.61E+11,4.89E+11,6.01E+11,7.45E+11,9.10E+11,9.27E+11,1.09E+12,1.14E+12,1.18E+12,1.06E+12,1.14E+12,1.34E+12,1.42E+12,1.56E+12,1.65E+12,1.69E+12,1.67E+12,1.65E+12,1.79E+12,2.05E+12,2.42E+12,2.54E+12,2.71E+12,3.09E+12,2.93E+12,2.41E+12,2.49E+12,2.66E+12,2.71E+12,2.78E+12,3.06E+12,2.93E+12,2.69E+12,2.68E+12,2.87E+12,2.85E+12,2.70E+12,3.14E+12,3.09E+12,3.34E+12,13.79
92,United States,6863,2675,4188,0.00175,0.00113,0.00084,1,1,1,1,5.42E+11,5.62E+11,6.04E+11,6.37E+11,6.84E+11,7.42E+11,8.13E+11,8.60E+11,9.40E+11,1.02E+12,1.07E+12,1.16E+12,1.28E+12,1.43E+12,1.55E+12,1.68E+12,1.87E+12,2.08E+12,2.35E+12,2.63E+12,2.86E+12,3.21E+12,3.34E+12,3.63E+12,4.04E+12,4.34E+12,4.58E+12,4.86E+12,5.24E+12,5.64E+12,5.96E+12,6.16E+12,6.52E+12,6.86E+12,7.29E+12,7.64E+12,8.07E+12,8.58E+12,9.06E+12,9.63E+12,1.03E+13,1.06E+13,1.09E+13,1.15E+13,1.22E+13,1.30E+13,1.38E+13,1.45E+13,1.48E+13,1.45E+13,1.50E+13,1.56E+13,1.63E+13,1.69E+13,1.76E+13,1.83E+13,1.88E+13,1.96E+13,2.07E+13,2.15E+13,2.13E+13,2.36E+13,2.57E+13,2.74E+13,15.49
93,Uruguay,6666,2608,4058,0.00135,0.00097,6.00E-04,1,1,1,0,1208333333,1.60E+09,1763636364,1553333333,1970588235,1893103448,1805555556,1597142857,1592672414,2004435484,2137096774,2807258065,2188700565,3964994166,4091438980,3538014311,3667716535,4114374866,4910526316,7181487624,10162460046,11048642639,9179000938,5102251571,4850267475,4732017873,5880112788,7367494080,8213538369,8438951476,9298807850,11206176651,12878148791,15002136971,17474588896,19297663097,20515458114,23969739234,25385886978,23983945191,22823270892,20898761742,13606515723,12045638352,13686329890,17362857684,19741420740,23797773024,31119602539,32708319078,41950361212,50342406067,54232266359,61337621934,61496186974,57680327999,57480788380,65006047680,65344408987,62222387929,53668636568,60760798596,70164683290,77240831587,12.99
94,Zambia,1702,1030,672,0.00234,0.00235,0.00147,0,1,1,1,7.13E+08,696285714.3,693142857.1,718714285.7,839428571.4,1082857143,1264285714,1.37E+09,1605857143,1965714286,1825285714,1.69E+09,1873249300,2435736196,2913063764,2443545879,2742796006,2514430380,2809862672,3354854981,3882889734,4006206897,3870075350,3321048451,2719801434,2252197452,1664509502,2265364009,3728889427,3994585203,3285217391,3376791460,3181921788,3273505344,3656806166,3806983413,3597220962,4303288480,3537741942,3404284891,3600632111,4094441301,4193850445,4901869764,6221110219,8331870169,12756858899,14056957976,17910858638,15328342304,20265559484,23459515276,25503060420,28037239463,27141023558,21251216799,20958412538,25873601261,26311507274,23308667781,18137764931,22096416932,29163782140,28162630954,7.99
