Country,Country Code,p2020,p2021,p2022,p2023
Kyrgyz Republic,KGZ,6579900,6773400,6974900,7100800
Cambodia,KHM,16396860,16589023,16767842,16944826
Kiribati,KIR,126463,128874,131232,133515
St. Kitts and Nevis,KNA,47642,47606,47657,47755
"Korea, Rep.",KOR,51836239,51769539,51672569,51712619
Kuwait,KWT,4360444,4250114,4268873,4310108
Latin America & Caribbean (excluding high income),LAC,588011178,592503434,596596955,600825676
Lao PDR,LAO,7319399,7425057,7529475,7633779
Lebanon,LBN,5662923,5592631,5489739,5353930
Liberia,LBR,5087584,5193416,5302681,5418377
Libya,LBY,6653942,6735277,6812341,6888388
St. Lucia,LCA,179237,179651,179857,180251
Latin America & Caribbean,LCN,650533026,654978670,659306928,664155299
Least developed countries: UN classification,LDC,1072970944,1098791080,1124396999,1150346774
Low income,LIC,667053670,685250041,703727949,722984063
Liechtenstein,LIE,38756,39039,39327,39584
Sri Lanka,LKA,21919000,22156000,22181000,22037000
Lower middle income,LMC,2943860780,2983113040,3020375650,3059564861
Low & middle income,LMY,6398830423,6467799496,6527353351,6593137026
Lesotho,LSO,2254100,2281454,2305825,2330318
Late-demographic dividend,LTE,2318233156,2323185156,2325328254,2326833223
Lithuania,LTU,2794885,2800839,2831639,2871897
Luxembourg,LUX,630419,640064,653103,668606
Latvia,LVA,1900449,1884490,1879383,1881750
"Macao SAR, China",MAC,676283,686607,695168,704149
St. Martin (French part),MAF,32553,31948,31791,32077
Morocco,MAR,36688772,37076584,37457971,37840044
Monaco,MCO,36922,36686,36469,36297
Moldova,MDA,2635130,2595809,2538894,2486891
Madagascar,MDG,28225177,28915653,29611714,30325732
Maldives,MDV,514438,521457,523787,521021
Middle East & North Africa,MEA,479966649,486174763,493279469,500787313
Mexico,MEX,125998302,126705138,127504125,128455567
Marshall Islands,MHL,43413,42050,41569,41996
Middle income,MIC,5731776753,5782549455,5823625402,5870152963
North Macedonia,MKD,1856124,1837114,1831712,1811980
Mali,MLI,21224040,21904983,22593590,23293698
Malta,MLT,515332,518536,531113,553214
Myanmar,MMR,53423198,53798084,54179306,54577997
Middle East & North Africa (excluding high income),MNA,411810124,418047201,424328381,430857111
Montenegro,MNE,621306,619211,617213,616177
Mongolia,MNG,3294335,3347782,3398366,3447157
Northern Mariana Islands,MNP,49587,49481,49551,49796
Mozambique,MOZ,31178239,32077072,32969518,33897354
Mauritania,MRT,4498604,4614974,4736139,4862989
Mauritius,MUS,1266014,1266334,1262523,1261041
Malawi,MWI,19377061,19889742,20405317,20931751
Malaysia,MYS,33199993,33573874,33938221,34308525
North America,NAC,369619464,370352605,372274062,375076145
Namibia,NAM,2489098,2530151,2567012,2604172
New Caledonia,NCL,271080,270390,269215,267940
Niger,NER,24333639,25252722,26207977,27202843
Nigeria,NGA,208327405,213401323,218541212,223804632
Nicaragua,NIC,6755895,6850540,6948392,7046310
Netherlands,NLD,17441500,17533044,17700982,17879488
Norway,NOR,5379475,5408320,5457127,5519594
Nepal,NPL,29348627,30034989,30547580,30896590
Nauru,NRU,12315,12511,12668,12780
New Zealand,NZL,5090200,5111300,5117200,5223100
OECD members,OED,1369502262,1371972508,1377465841,1385005653
Oman,OMN,4543399,4520471,4576298,4644384
Other small states,OSS,13853034,13943732,14095313,14240737
Pakistan,PAK,227196741,231402117,235824862,240485658
Panama,PAN,4294396,4351267,4408581,4468087
Peru,PER,33304756,33715471,34049588,34352719
Philippines,PHL,112190977,113880328,115559009,117337368
Palau,PLW,17972,18024,18055,18058
Papua New Guinea,PNG,9749640,9949437,10142619,10329931
Poland,POL,37899070,37747124,36821749,36685849
Pre-demographic dividend,PRE,984213438,1011043183,1038012552,1065710613
Puerto Rico,PRI,3281557,3262693,3220113,3205691
"Korea, Dem. People's Rep.",PRK,25867467,25971909,26069416,26160821
Portugal,PRT,10297081,10361831,10409704,10525347
Paraguay,PRY,6618695,6703799,6780744,6861524
West Bank and Gaza,PSE,4803269,4922749,5043612,5165775
Pacific island small states,PSS,2566819,2602173,2639019,2677728
Post-demographic dividend,PST,1117530670,1116651310,1114354147,1119478514
French Polynesia,PYF,301920,304032,306279,308872
Qatar,QAT,2760385,2688235,2695122,2716391
Romania,ROU,19265250,19122059,19047009,19056116
Russian Federation,RUS,145245148,144746762,144236933,143826130
Rwanda,RWA,13146362,13461888,13776698,14094683
South Asia,SAS,1882531620,1901911604,1919348000,1938549529
Saudi Arabia,SAU,35997107,35950396,36408820,36947025
Sudan,SDN,44440486,45657202,46874204,48109006
Senegal,SEN,16436120,16876720,17316449,17763163
Singapore,SGP,5685807,5453566,5637022,5917648
Solomon Islands,SLB,691191,707851,724273,740424
Sierra Leone,SLE,8233970,8420641,8605718,8791092
El Salvador,SLV,6292731,6314167,6336392,6364943
San Marino,SMR,34007,33745,33660,33642
Somalia,SOM,16537016,17065581,17597511,18143378
Serbia,SRB,6899126,6834326,6664449,6618026
Sub-Saharan Africa (excluding high income),SSA,1151203619,1181063755,1211070124,1241778044
South Sudan,SSD,10606227,10748272,10913164,11088796
Sub-Saharan Africa,SSF,1151302081,1181163013,1211190002,1241897817
Small states,SST,19526038,19674424,19881389,20086203
Sao Tome and Principe,STP,218641,223107,227380,231856
Suriname,SUR,607065,612985,618040,623236
Slovak Republic,SVK,5458827,5447247,5431752,5426740
Slovenia,SVN,2102419,2108079,2111986,2120937
Sweden,SWE,10353442,10415811,10486941,10536632
Eswatini,SWZ,1180655,1192271,1201670,1210822
Sint Maarten (Dutch part),SXM,40350,40708,40888,41163
Seychelles,SYC,98462,99258,119878,119773
Syrian Arab Republic,SYR,20772595,21324367,22125249,23227014
Turks and Caicos Islands,TCA,44276,45114,45703,46062
Chad,TCD,16644701,17179740,17723315,18278568
East Asia & Pacific (IDA & IBRD countries),TEA,2090523535,2097669023,2103055378,2107522258
Europe & Central Asia (IDA & IBRD countries),TEC,462304330,463035774,457342249,457326090
Togo,TGO,8442580,8644829,8848699,9053799
Thailand,THA,71475664,71601103,71697030,71801279
Tajikistan,TJK,9543207,9750064,9952787,10143543
Turkmenistan,TKM,6250438,6341855,6430770,6516100
Latin America & the Caribbean (IDA & IBRD countries),TLA,634961078,639469895,643884393,648763330
Timor-Leste,TLS,1299995,1320942,1341296,1360596
Middle East & North Africa (IDA & IBRD countries),TMN,407006855,413124452,419284769,425691336
Tonga,TON,105254,106017,106858,107773
South Asia (IDA & IBRD),TSA,1882531620,1901911604,1919348000,1938549529
Sub-Saharan Africa (IDA & IBRD countries),TSS,1151302081,1181163013,1211190002,1241897817
Trinidad and Tobago,TTO,1518147,1525663,1531044,1534937
Tunisia,TUN,12161723,12262946,12356117,12458223
Turkiye,TUR,83384680,84147318,84979913,85326000
Tuvalu,TUV,11069,11204,11312,11396
Tanzania,TZA,61704518,63588334,65497748,67438106
Uganda,UGA,44404611,45853778,47249585,48582334
Ukraine,UKR,44207754,43848986,38000000,37000000
Upper middle income,UMC,2787915973,2799436415,2803249752,2810588102
Uruguay,URY,3429086,3426260,3422794,3423108
United States,USA,331526933,332048977,333271411,334914895
Uzbekistan,UZB,34232050,34915100,35648100,36412350
St. Vincent and the Grenadines,VCT,104632,104332,103948,103698
"Venezuela, RB",VEN,28490453,28199867,28301696,28838499
British Virgin Islands,VGB,30910,31122,31305,31538
Virgin Islands (U.S.),VIR,106290,105870,105413,104917
Viet Nam,VNM,96648685,97468029,98186856,98858950
Vanuatu,VUT,311685,319137,326740,334506
World,WLD,7821271846,7888963821,7951595433,8024997028
Samoa,WSM,214929,218764,222382,225681
Kosovo,XKX,1790133,1786038,1768086,1756374
"Yemen, Rep.",YEM,32284046,32981641,33696614,34449825
South Africa,ZAF,58801927,59392255,59893885,60414495
Zambia,ZMB,18927715,19473125,20017675,20569737
Zimbabwe,ZWE,15669666,15993524,16320537,16665409
